1:196,93:
700:5,5:
701:5,5:
702:5,5:
703:5,5:
704:5,5:
705:5,5:
706:5,5:
707:5,5:
708:5,5:
709:5,5:
710:5,5:
711:5,5:
712:5,5:
713:5,5:
714:5,5:
715:5,5:
716:5,5:
717:5,5:
718:5,5:
719:5,5:
720:5,5:
721:5,5:
722:5,5:
723:5,5:
724:5,5:
725:5,5:
726:5,5:
727:5,5:
728:5,5:
729:5,5:
730:5,5:
731:5,5:
732:5,5:
733:5,5:
734:5,5:
735:5,5:
736:5,5:
737:5,5:
738:5,5:
739:5,5:
740:5,5:
741:5,5:
742:5,5:
743:5,5:
744:5,5:
745:5,5:
746:5,5:
747:5,5:
748:5,5:
749:5,5:
750:5,5:
751:5,5:
752:5,5:
753:5,5:
754:5,5:
755:5,5:
756:5,5:
757:5,5:
758:5,5:
759:5,5:
760:5,5:
761:5,5:
762:5,5:
763:5,5:
764:5,5:
765:5,5:
766:5,5:
767:5,5:
768:5,5:
769:5,5:
770:5,5:
771:5,5:
772:5,5:
773:5,5:
774:5,5:
775:5,5:
776:5,5:
777:5,5:
778:5,5:
779:5,5:
780:5,5:
781:5,5:
782:5,5:
783:5,5:
784:5,5:
785:5,5:
786:5,5:
787:5,5:
788:5,5:
789:5,5:
790:5,5:
791:5,5:
792:5,5:
793:5,5:
794:5,5:
795:5,5:
796:5,5:
797:5,5:
798:5,5:
799:5,5:
800:5,5:
801:5,5:
802:5,5:
803:5,5:
804:5,5:
805:5,5:
806:5,5:
807:5,5:
808:5,5:
809:5,5:
810:5,5:
811:5,5:
812:5,5:
813:5,5:
814:5,5:
815:5,5:
816:5,5:
817:5,5:
818:5,5:
819:5,5:
820:5,5:
821:5,5:
822:5,5:
823:5,5:
824:5,5:
825:5,5:
826:5,5:
827:5,5:
828:5,5:
829:5,5:
830:5,5:
831:5,5:
832:5,5:
833:5,5:
834:5,5:
835:5,5:
836:5,5:
837:5,5:
838:5,5:
839:5,5:
840:5,5:
841:5,5:
842:5,5:
843:5,5:
844:5,5:
845:5,5:
846:5,5:
847:5,5:
848:5,5:
849:5,5:
850:5,5:
851:5,5:
852:5,5:
853:5,5:
854:5,5:
855:5,5:
856:5,5:
857:5,5:
858:5,5:
859:5,5:
860:5,5:
861:5,5:
862:5,5:
863:5,5:
864:5,5:
865:5,5:
866:5,5:
867:5,5:
868:5,5:
869:5,5:
870:5,5:
871:5,5:
872:5,5:
873:5,5:
874:5,5:
875:5,5:
876:5,5:
877:5,5:
878:5,5:
879:5,5:
880:5,5:
881:5,5:
882:5,5:
883:5,5:
884:5,5:
885:5,5:
886:5,5:
887:5,5:
888:5,5:
889:5,5:
890:5,5:
891:5,5:
892:5,5:
893:5,5:
894:5,5:
895:5,5:
896:5,5:
897:5,5:
898:5,5:
899:5,5:
900:5,5:
901:5,5:
902:5,5:
903:5,5:
904:5,5:
905:5,5:
906:5,5:
907:5,5:
908:5,5:
909:5,5:
910:5,5:
911:5,5:
912:5,5:
913:5,5:
914:5,5:
915:5,5:
916:5,5:
917:5,5:
918:5,5:
919:5,5:
920:5,5:
921:5,5:
922:5,5:
923:5,5:
924:5,5:
925:5,5:
926:5,5:
